"","Brum.HAP1.GTS","Brum.KBM7.GTS","Weis14.csa.avg","Sabb15.KBM7.cs","Sabb15.K562.cs","Sabb15.Jiyoye.cs","Sabb15.Raji.cs","Sabb17.EOL","Sabb17.HEL","Sabb17.MOLM13","Sabb17.MonoMac1","Sabb17.NB4.rep1","Sabb17.NB4.rep2","Sabb17.OCI.AML2","Sabb17.OCI.AML3","Sabb17.OCI.AML5","Sabb17.P31.FUJ","Sabb17.PL21","Sabb17.SKM1","Sabb17.TF1","Sabb17.THP1","CGC_Tier","TSgene","rank"
"2704",0.499036812,0.496274218,-0.064809139,-0.059,-0.918,0.016,0.192,-0.147,-0.103,-0.029,-0.073,-0.389,-0.272,-0.299,-0.131,-0.311,-0.183,-0.009,-0.265,-0.776,0.099,0,0,5792
"2705",0.565789474,0.428571429,0.008000007,-1.236,-1.268,-0.849,-1.413,-1.18,-1.236,-1.385,-0.739,-1.169,-0.649,-1.042,-1.018,-1.377,-0.755,-0.719,-1.374,-1.392,-1.422,0,0,7958
"2706",0.499036812,0.496274218,-0.057571951,-0.102,-0.494,0.069,0.291,-0.531,-0.046,-0.472,0.036,-0.367,-0.011,0.029,-0.122,-0.303,0.073,-0.053,-0.265,-0.483,0.061,0,0,6508
"2707",0.497881356,0.514285714,-0.017612858,0.112,0.328,0.052,0.26,-0.037,0.222,-0.24,-0.183,-0.212,-0.628,0.161,-0.373,0.246,0.196,-0.339,-0.22,-0.153,-0.673,0,1,14799
"2708",0.617647059,0.8,-0.0074223265,-0.054,-0.14,0.154,0.152,0.487,-0.292,-0.099,0.002,-0.22,-0.162,0.171,0.254,0.174,0.155,0.053,0.045,-0.013,0.025,0,0,14627
"2709",0.529069767,0.463414634,-0.0074223265,0.047,0.202,0.123,0.109,-0.285,0.261,0.446,-0.087,0.215,0.174,-0.058,0.156,-0.051,-0.066,-0.218,-0.143,-0.643,0.261,0,0,13737
"2710",0.532639546,0.532110092,-0.069001072,0.255,-0.182,-0.162,-0.151,0.001,-0.253,0.228,-0.085,-0.052,0.261,0.166,0.229,-0.024,0.227,0.111,0.091,-0.586,-0.275,0,0,16374
"2711",0.546511628,0.444444444,-0.0074223265,-0.228,-0.333,-0.192,0.136,-0.316,-0.205,-0.354,-0.106,-0.12,-0.354,-0.118,-0.299,-0.177,-0.247,0.08,0.044,0.165,-0.227,0,0,10372
"2712",0.517618469,0.492957746,0.008598434,0.026,-0.407,0.201,0.056,0.022,0.085,-0.046,0.135,0.036,-0.149,0.131,0.022,0.016,-0.049,-0.209,0.186,0.032,-0.202,0,0,13472
"2713",0.5,0.5,-0.031250658,0.33,0.442,0.195,0.302,0.236,-0.118,0.282,0.222,0.095,0.4,0.403,-0.104,0.151,0.161,0.19,0.283,-0.093,0.22,0,0,5378
