,Gene,TS_status,pred_prob
46,GPR22,0,0.232454477
688,HIBADH,0,0.232032125
537,POLD2,0,0.232021298
844,SH2B2,0,0.2320087
128,PEG10,0,0.231946585
751,POP7,0,0.231934757
521,NUDCD3,0,0.231861476
450,DMTF1,0,0.23166196
401,HIP1,0,0.231195088
598,GSAP,0,0.230979123
783,LANCL2,0,0.230968548
413,TTYH3,0,0.23089662
777,PRKAR1B,0,0.230797005
685,GLCCI1,0,0.229767414
193,CADPS2,0,0.229757132
65,MEOX2,0,0.229494673
556,DNAJB6,0,0.22928591
36,ETV1,0,0.228557811
427,TSC22D4,0,0.228380007
244,ZNF804B,0,0.228290885
372,SPDYE16,0,0.227807285
335,WIPF3,0,0.227580969
856,CAV2,0,0.227535451
524,SSBP1,0,0.227398009
249,VSTM2A,0,0.227210113
697,UPP1,0,0.227052599
463,ELMO1,0,0.226791857
686,RHEB,0,0.226778308
344,TMEM229A,0,0.226367872
116,RASA4,0,0.226162234
145,ATP6V0A4,0,0.22614153
637,PRKAG2,0,0.225835981
536,HBP1,0,0.225831682
741,PUS7,0,0.225409377
87,PTPRZ1,0,0.225399469
793,MALSU1,0,0.225123461
107,DGKI,0,0.225114747
8,OPN1SW,0,0.225028909
242,TMEM184A,0,0.224849605
712,MPLKIP,0,0.224605519
124,POU6F2,0,0.224541877
408,RBM33,0,0.224346592
403,TNRC18,0,0.223860066
557,BCL7B,0,0.223630224
702,TMEM60,0,0.22307849
99,ZAN,0,0.222940048
800,DUS4L,0,0.222744269
426,SUMF2,0,0.222732462
139,DENND2A,0,0.222704273
587,FIGNL1,0,0.222597401
725,CLDN12,0,0.222392105
246,SP8,0,0.222164621
659,MRPS24,0,0.221910467
48,GPR37,0,0.221839739
822,PTPRN2,0,0.221747545
81,PPP1R3A,0,0.22115255
51,MNX1,0,0.220873098
683,URGCP,0,0.220845362
623,GGCT,0,0.220773291
701,ICA1,0,0.220569911
487,TFR2,0,0.220434395
790,ALKBH4,0,0.220367505
529,COG5,0,0.220280629
729,GIMAP2,0,0.220219677
792,DTX2,0,0.220084616
163,RADIL,0,0.220032402
740,ZNF789,0,0.220024922
532,STARD3NL,0,0.219977708
267,SUN3,0,0.219915136
